epoch,phase,data_mse,physics_mse,supervised_total,unsupervised_total,grad_norm
1,pretrain,0.0,1.1529399960345294e-05,0.0,17.895028845607143,31.103776931762695
2,pretrain,0.0,0.0013804712316932582,0.0,11.492968294355885,21.698320388793945
3,pretrain,0.0,0.0001476862152497063,0.0,1.7703741537465065,3.9061508178710938
4,pretrain,0.0,0.00014556964384637093,0.0,20.211769854298517,32.321502685546875
5,pretrain,0.0,0.009928948637881118,0.0,11.853460697742968,45.04069519042969
6,pretrain,0.0,0.006145467073443769,0.0,14.532203995288873,25.28308868408203
7,pretrain,0.0,0.016654582152948714,0.0,20.414263825994453,22.936704635620117
8,pretrain,0.0,0.009759362648770704,0.0,12.654675051866924,55.84857940673828
9,pretrain,0.0,0.012713246480195544,0.0,8.60278276579434,5.954904079437256
10,pretrain,0.0,1.3157603076467579e-05,0.0,10.952806104887824,9.143704414367676
11,pretrain,0.0,0.024003278049102822,0.0,13.131277698008162,46.210105895996094
12,pretrain,0.0,0.0008271807549400073,0.0,9.659379200771468,15.159603118896484
13,pretrain,0.0,3.4743914976793493e-06,0.0,9.116734643458479,8.449897766113281
14,pretrain,0.0,0.02562011835320381,0.0,8.73475639616676,12.906996726989746
15,pretrain,0.0,5.552705801832087e-05,0.0,8.107530637063116,22.18014144897461
16,pretrain,0.0,0.001967036202800954,0.0,9.31536490932099,10.130230903625488
17,pretrain,0.0,0.0003330176785747102,0.0,8.702946513632794,62.06224060058594
18,pretrain,0.0,0.011053916573884059,0.0,9.437776419715677,23.349458694458008
19,pretrain,0.0,0.011846506732723324,0.0,12.142502937587421,5.6700334548950195
20,pretrain,0.0,0.0025663986859711715,0.0,10.535068637266292,5.045309066772461
21,pretrain,0.0,0.004264155163219945,0.0,15.94001941353627,30.784969329833984
22,pretrain,0.0,1.485654675007783e-05,0.0,12.238284727625778,40.00630187988281
23,pretrain,0.0,3.707261485307668e-05,0.0,13.180051954012864,9.519272804260254
24,pretrain,0.0,0.011693274617960084,0.0,7.0690479039260135,61.899044036865234
25,pretrain,0.0,7.061667205556122e-05,0.0,20.077154719852327,39.49937057495117
26,pretrain,0.0,0.030278306933129488,0.0,13.741729917643825,34.639644622802734
27,pretrain,0.0,0.055185978030252054,0.0,16.45340222041385,29.141477584838867
28,pretrain,0.0,0.0010691932332584798,0.0,13.788887202405546,15.66754150390625
29,pretrain,0.0,0.05182183033350386,0.0,11.509593369501179,20.091442108154297
30,pretrain,0.0,0.009216915978884473,0.0,9.544514974074916,19.39766502380371
31,pretrain,0.0,0.022525070477344186,0.0,23.398488093419264,28.570878982543945
32,pretrain,0.0,0.005517682028419308,0.0,11.25018015430207,13.853202819824219
33,pretrain,0.0,0.006998095413362945,0.0,11.981681200093064,21.450849533081055
34,pretrain,0.0,7.037281523701876e-05,0.0,9.682362887888335,18.677051544189453
35,pretrain,0.0,0.050692156526212714,0.0,10.53508427304758,9.959624290466309
36,pretrain,0.0,7.83588632875062e-05,0.0,9.529290865794845,10.068208694458008
37,pretrain,0.0,0.008779626759737133,0.0,15.206859590944877,9.520623207092285
38,pretrain,0.0,0.008916770083366546,0.0,14.511278278072066,36.710693359375
39,pretrain,0.0,0.00014114950057375232,0.0,19.337572733471855,35.924156188964844
40,pretrain,0.0,0.04827325592916746,0.0,9.559613362035899,8.335127830505371
41,pretrain,0.0,0.0008426970061800414,0.0,13.361396622196446,13.386714935302734
42,pretrain,0.0,4.416625824080869e-05,0.0,9.000382489059813,17.437318801879883
43,pretrain,0.0,0.00033517742630047174,0.0,14.833596065042439,48.308902740478516
44,pretrain,0.0,0.010846617289939764,0.0,9.065686268982521,8.842754364013672
45,pretrain,0.0,0.058318362089581015,0.0,8.788812221048602,11.345630645751953
46,pretrain,0.0,0.029963440356816497,0.0,11.039764034553638,13.127470970153809
47,pretrain,0.0,6.80217676530025e-06,0.0,12.582500839924057,12.419301986694336
48,pretrain,0.0,0.017820680948370332,0.0,16.598317517254632,22.406051635742188
49,pretrain,0.0,0.04990528180102038,0.0,14.144686589226335,14.034780502319336
50,pretrain,0.0,0.0022298261808223643,0.0,9.616208530519318,33.33709716796875
51,pretrain,0.0,4.397113581616765e-05,0.0,11.17612395057646,7.08386754989624
52,pretrain,0.0,0.0002574476549449992,0.0,12.106545865733878,26.359506607055664
53,pretrain,0.0,8.661416189629422e-05,0.0,13.91046503260353,25.174421310424805
54,pretrain,0.0,1.937720006216461e-05,0.0,8.538191757934026,12.655082702636719
55,pretrain,0.0,3.8003792379457474e-05,0.0,7.209186485831399,14.911264419555664
56,pretrain,0.0,0.0004263020055076224,0.0,13.871260799279371,23.985645294189453
57,pretrain,0.0,1.2519420158730614e-05,0.0,9.337525067054369,16.00251579284668
58,pretrain,0.0,8.378393112906806e-05,0.0,6.1372178069312735,9.704959869384766
59,pretrain,0.0,0.08091894109712988,0.0,13.602016695424158,31.360681533813477
60,pretrain,0.0,0.02108903516729592,0.0,6.606444981139158,9.147095680236816
61,pretrain,0.0,4.3655318082730905e-05,0.0,4.585462020247606,6.966588020324707
62,pretrain,0.0,0.0005864353747776227,0.0,11.324694930800423,10.725298881530762
63,pretrain,0.0,2.153771388735773e-05,0.0,7.024853603316628,9.119343757629395
64,pretrain,0.0,0.0084208818180985,0.0,19.629849410001448,7.738618850708008
65,pretrain,0.0,0.0005702276549162633,0.0,13.980414964026677,33.07154083251953
66,pretrain,0.0,6.411722022423084e-05,0.0,8.972224641202535,24.75648307800293
67,pretrain,0.0,0.0002876591330444254,0.0,10.730069983948953,3.830418109893799
68,pretrain,0.0,9.79902321730504e-06,0.0,23.333735443411275,48.59718322753906
69,pretrain,0.0,1.7477869391322973e-05,0.0,9.387340765908803,17.09618377685547
70,pretrain,0.0,0.00032021617535769994,0.0,18.69881303998596,28.51810646057129
71,pretrain,0.0,8.965022823723095e-05,0.0,17.820401361107994,15.2540864944458
72,pretrain,0.0,0.01062316250312636,0.0,13.84795300746155,17.478260040283203
73,pretrain,0.0,0.05422203653439931,0.0,4.405058986113404,10.052413940429688
74,pretrain,0.0,0.010763721833875892,0.0,8.271262745317406,16.65492820739746
75,pretrain,0.0,0.0075333909539304625,0.0,13.009007658598895,9.657551765441895
76,pretrain,0.0,6.483121335919905e-05,0.0,14.041843081817621,37.165584564208984
77,pretrain,0.0,7.887396437875836e-05,0.0,13.791602109385,13.247581481933594
78,pretrain,0.0,0.007411747724383321,0.0,6.54031068689922,9.74975872039795
79,pretrain,0.0,0.00014099838951076016,0.0,11.577640547981693,19.77412986755371
80,pretrain,0.0,5.803397612619128e-05,0.0,14.203273725748714,20.761213302612305
81,pretrain,0.0,0.0033055244455734408,0.0,9.269267570219588,38.08418655395508
82,pretrain,0.0,0.0019757102467526932,0.0,11.82364147977913,11.735939025878906
83,pretrain,0.0,7.703676275809773e-05,0.0,13.247051497785856,12.69665813446045
84,pretrain,0.0,0.016046587915832952,0.0,6.441480371319196,11.199604034423828
85,pretrain,0.0,6.792856424479938e-05,0.0,3.6722920423077663,11.48034954071045
86,pretrain,0.0,0.010992624275577312,0.0,8.441586066033286,11.846588134765625
87,pretrain,0.0,7.392103370257922e-05,0.0,19.038078026352384,31.60032081604004
88,pretrain,0.0,0.00038781084616774225,0.0,5.236273147473442,10.149750709533691
89,pretrain,0.0,0.00037413376691494476,0.0,13.339162763742253,19.951053619384766
90,pretrain,0.0,0.04122654011739954,0.0,16.281463031417584,26.7968692779541
91,pretrain,0.0,3.8934711109797623e-05,0.0,11.499545071532168,26.056291580200195
92,pretrain,0.0,1.756128551065032e-05,0.0,14.132252713429736,13.518477439880371
93,pretrain,0.0,0.00010029791672178125,0.0,9.47987113663345,17.781600952148438
94,pretrain,0.0,0.01049678912688315,0.0,12.225043624348894,24.33161735534668
95,pretrain,0.0,0.0017017324789662283,0.0,5.394504550722614,10.16142749786377
96,pretrain,0.0,8.126971952247866e-06,0.0,2.3428244760046986,2.1202025413513184
97,pretrain,0.0,0.0006119806043874957,0.0,3.449592991468947,6.6214680671691895
98,pretrain,0.0,0.009296754508171932,0.0,10.611442127462897,5.451837539672852
99,pretrain,0.0,0.0019707832855355603,0.0,13.362733773285726,18.806055068969727
100,pretrain,0.0,0.0002730197514177661,0.0,10.843542547072602,4.259373664855957
101,pretrain,0.0,0.010445520313710752,0.0,9.881521328419327,11.768769264221191
102,pretrain,0.0,0.00919093039550159,0.0,17.5180596143784,10.128795623779297
103,pretrain,0.0,0.00028148947888896874,0.0,10.961781754119986,34.980072021484375
104,pretrain,0.0,2.7409772424656715e-05,0.0,7.216316496493625,16.840394973754883
105,pretrain,0.0,0.019814757539353592,0.0,9.807476450569897,46.9241943359375
106,pretrain,0.0,0.01110263772494352,0.0,7.452688419234641,18.26357650756836
107,pretrain,0.0,0.0063531804053995194,0.0,4.082387881811582,5.368583679199219
108,pretrain,0.0,3.5233701145988504e-05,0.0,8.158209925797589,13.63318157196045
109,pretrain,0.0,2.9647798925530068e-05,0.0,2.6288320131300993,32.93791580200195
110,pretrain,0.0,0.006481870490525582,0.0,11.73694628637495,21.155885696411133
111,pretrain,0.0,0.01080641273217127,0.0,9.011665934837405,6.723281383514404
112,pretrain,0.0,0.0002872664613525857,0.0,6.863999814012634,13.47817611694336
113,pretrain,0.0,0.012007050367297082,0.0,7.798424562220665,18.04836082458496
