family_id,gp_case_mean_relative_error,lstm_case_mean_relative_error,lstm_minus_gp_case_error,gp_domain_accepted,lstm_domain_accepted
6,0.0181509552305835,0.0193428316504336,0.0011918764198501006,True,True
14,0.0158066769889962,0.0165989515039232,0.0007922745149269994,True,True
15,0.0163891679163709,0.0158638226675447,-0.0005253452488261992,True,True
16,0.0159902582107655,0.0147852516273452,-0.0012050065834202997,True,True
19,0.0193586056546128,0.0156669906814301,-0.0036916149731827004,True,True
22,0.0184173225961083,0.020576586210167,0.002159263614058698,True,True
30,0.017668231260693,0.0161012053125409,-0.0015670259481521016,True,True
31,0.0218917207926565,0.0151061342496051,-0.006785586543051399,True,True
34,0.0173377837794274,0.0149433420115945,-0.0023944417678329003,True,True
35,0.0495839381701868,0.045604381751352,-0.003979556418834802,True,True
36,0.0236512779380171,0.0265661352173975,0.0029148572793804006,True,True
41,0.01590862204774,0.0157875495398729,-0.00012107250786709892,True,True
44,0.0166684344687046,0.0175531729832432,0.0008847385145386022,True,True
47,0.0165100861857636,0.0160034279651137,-0.0005066582206498978,True,True
49,0.023618425315166,0.0195892176372422,-0.0040292076779238,True,True
58,0.0173722192257977,0.0157256697619721,-0.0016465494638256,True,True
60,0.022032823441457,0.0159583564816305,-0.0060744669598265,True,True
64,0.0167509015140518,0.0202571742129327,0.003506272698880899,True,True
77,0.0168499105262542,0.0179013430366691,0.0010514325104148993,True,True
97,0.0150720981159217,0.0159400271830307,0.0008679290671090006,True,True
102,0.0164481476267228,0.01700949984739,0.0005613522206672009,True,True
109,0.0226153725837016,0.0148675741269882,-0.0077477984567134,True,True
110,0.0150212516565471,0.0169981545984716,0.0019769029419244993,True,True
113,0.0185709408544673,0.0193742928569071,0.0008033520024397986,True,True
136,0.0151215669667712,0.0148878764787559,-0.00023369048801529999,True,True
137,0.0155074665092155,0.015776270307404,0.0002688037981884994,True,True
139,0.0155345593743427,0.0164491144732199,0.0009145550988772008,True,True
140,0.0178476246167441,0.0149669441627123,-0.0028806804540318,True,True
141,0.0152436636917844,0.0144478143547187,-0.0007958493370656995,True,True
163,0.0234896872956007,0.0281656124861471,0.0046759251905464025,True,True
164,0.0163642674575375,0.021246656411763,0.004882388954225502,True,True
175,0.0194143124182026,0.014500104233611,-0.0049142081845916005,True,True
176,0.0208081538653785,0.0171354033615122,-0.0036727505038663018,True,True
181,0.0208713653874807,0.0164873752689381,-0.0043839901185426,True,True
182,0.0194884110271812,0.0161924014259836,-0.0032960096011975977,True,True
190,0.0282029744595497,0.0269142880832011,-0.0012886863763485988,True,True
193,0.0168255104753853,0.0213719411599517,0.004546430684566401,True,True
194,0.0175152808245282,0.0183596016730772,0.000844320848549001,True,True
195,0.0159887118806363,0.0150054125383498,-0.0009832993422864995,True,True
202,0.0201358297531284,0.0158768229850285,-0.004259006768099902,True,True
205,0.017762221465325,0.0152070864583005,-0.002555135007024499,True,True
218,0.0150210683906668,0.0147132151218949,-0.00030785326877189913,True,True
222,0.0309740190691999,0.0283487051070313,-0.0026253139621686024,True,True
233,0.0176799183608585,0.01694392093687,-0.0007359974239884992,True,True
235,0.0184511880580559,0.0223166946094876,0.0038655065514317,True,True
236,0.0150803093855163,0.0172871757128404,0.0022068663273241,True,True
237,0.019461322534689,0.0159266804790943,-0.0035346420555947,True,True
244,0.0159236243642049,0.0171184102999354,0.0011947859357305003,True,True
