challenge_kind,challenge_label,domain_accepted,domain_reason,nearest_training_distance,usable_prediction,deuteron_energy_mev,target_distance_cm,beam_fwhm_mm,radial_offset_mm,target_radius_mm,baseline_n2n_per_h_per_uA,raw_model_output_n2n_per_h_per_uA,log_prediction_std_n2n,baseline_ngamma_per_h_per_uA,raw_model_output_ngamma_per_h_per_uA,log_prediction_std_ngamma
explicit_out_of_range,outside_deuteron_energy_mev_low,False,outside:deuteron_energy_mev,0.99680637684141,False,31.0,2.571548423929274,5.179248875409604,2.5179791616825984,3.7499034171048993,1.2806869988611344e-10,7.765085709063681e-11,0.0173989704432343,1.0087916071991697e-12,7.001425934965228e-13,0.014199326691018045
explicit_out_of_range,outside_deuteron_energy_mev_low,False,outside:deuteron_energy_mev,0.7764638149261647,False,31.0,2.6828361422932154,10.553149988916447,1.1536359671281629,3.49929072928034,1.1766413799461258e-10,5.878889686013919e-11,0.017277146602174196,9.268353234072353e-13,5.558906696560672e-13,0.014209838904557131
explicit_out_of_range,outside_deuteron_energy_mev_low,False,outside:deuteron_energy_mev,0.9433483948678801,False,31.0,1.6338210846921402,5.712792172536284,5.334865181284871,2.1027765892423345,3.172659184257888e-10,9.198554506983214e-11,0.017225853347598852,2.4990899106720447e-12,1.0082120761072069e-12,0.013773795248875993
explicit_out_of_range,outside_deuteron_energy_mev_low,False,outside:deuteron_energy_mev,0.7923752892745344,False,31.0,2.328613945759767,7.845681567628489,3.6643216763194184,3.7343139948026662,1.5618431822943573e-10,7.139241775223887e-11,0.016279512134952056,1.2302571162671972e-12,6.906031349560518e-13,0.013541111993861502
explicit_out_of_range,outside_deuteron_energy_mev_low,False,outside:deuteron_energy_mev,1.2353629177128598,False,31.0,1.7073441620654244,4.191206824695085,0.45167478575681574,4.638663428782422,2.905295199263216e-10,1.51379085390432e-10,0.02242704740927958,2.2884884566323014e-12,1.4224216533549287e-12,0.016516680117909136
explicit_out_of_range,outside_deuteron_energy_mev_low,False,outside:deuteron_energy_mev,1.0156464377071253,False,31.0,2.8861129003345325,7.678513423592912,5.595675584138802,3.8174390698358085,1.0167303372039069e-10,4.6736931529887355e-11,0.0184542991508642,8.00874087008122e-13,4.5323415201920356e-13,0.014867705069672558
explicit_out_of_range,outside_deuteron_energy_mev_low,False,outside:deuteron_energy_mev,1.2227021843656771,False,31.0,1.7662575652900134,11.572197370954157,3.046846428105707,4.234382628313698,2.7147156350167987e-10,7.961524867096077e-11,0.01678127235437472,2.138369758553516e-12,8.480250112543299e-13,0.013448853880332467
explicit_out_of_range,outside_deuteron_energy_mev_low,False,outside:deuteron_energy_mev,1.100676903972456,False,31.0,2.2189485403213345,9.375437746606913,7.998712367939647,4.0526170817180205,1.7200376489863615e-10,4.3289961497106115e-11,0.02155309460102654,1.354866213139544e-12,4.86640112223087e-13,0.016145105113107176
explicit_out_of_range,outside_deuteron_energy_mev_low,False,outside:deuteron_energy_mev,0.9012140382975982,False,31.0,2.86050975478426,10.857163285614519,7.164441941497402,0.6626371802163853,1.0350123884420451e-10,3.830987606929694e-11,0.02034635969838794,8.152747796580979e-13,3.912615468461907e-13,0.015784971071336577
explicit_out_of_range,outside_deuteron_energy_mev_low,False,outside:deuteron_energy_mev,1.1878818971992822,False,31.0,2.016890459338388,9.818610012191039,2.3572568067210913,4.420156429758012,2.081937995127198e-10,7.941234241241819e-11,0.016642692917745495,1.6399335497752743e-12,8.012852779054e-13,0.013508769653332461
