challenge_kind,challenge_label,domain_accepted,domain_reason,nearest_training_distance,usable_prediction,deuteron_energy_mev,target_distance_cm,beam_fwhm_mm,radial_offset_mm,target_radius_mm,baseline_n2n_per_h_per_uA,raw_model_output_n2n_per_h_per_uA,log_prediction_std_n2n,baseline_ngamma_per_h_per_uA,raw_model_output_ngamma_per_h_per_uA,log_prediction_std_ngamma
explicit_out_of_range,outside_deuteron_energy_mev_low,False,outside:deuteron_energy_mev,0.99680637684141,False,31.0,2.571548423929274,5.179248875409604,2.5179791616825984,3.7499034171048993,1.2806869988611344e-10,7.628746377047162e-11,0.019384423072322396,1.0087916071991697e-12,6.940081074525338e-13,0.03198322129115437
explicit_out_of_range,outside_deuteron_energy_mev_low,False,outside:deuteron_energy_mev,0.7764638149261647,False,31.0,2.6828361422932154,10.553149988916447,1.1536359671281629,3.49929072928034,1.1766413799461258e-10,5.823878750178909e-11,0.02056083927193249,9.268353234072353e-13,5.529518043351686e-13,0.03163828835734305
explicit_out_of_range,outside_deuteron_energy_mev_low,False,outside:deuteron_energy_mev,0.9433483948678801,False,31.0,1.6338210846921402,5.712792172536284,5.334865181284871,2.1027765892423345,3.172659184257888e-10,9.118850588868641e-11,0.019040206786773897,2.4990899106720447e-12,1.0023282366237718e-12,0.03053763033692944
explicit_out_of_range,outside_deuteron_energy_mev_low,False,outside:deuteron_energy_mev,0.7923752892745344,False,31.0,2.328613945759767,7.845681567628489,3.6643216763194184,3.7343139948026662,1.5618431822943573e-10,7.035729774061853e-11,0.018274261680108452,1.2302571162671972e-12,6.840744293399393e-13,0.031372366156518436
explicit_out_of_range,outside_deuteron_energy_mev_low,False,outside:deuteron_energy_mev,1.2353629177128598,False,31.0,1.7073441620654244,4.191206824695085,0.45167478575681574,4.638663428782422,2.905295199263216e-10,1.5050493316966081e-10,0.02160836268681235,2.2884884566323014e-12,1.4204609064997858e-12,0.03187378316658687
explicit_out_of_range,outside_deuteron_energy_mev_low,False,outside:deuteron_energy_mev,1.0156464377071253,False,31.0,2.8861129003345325,7.678513423592912,5.595675584138802,3.8174390698358085,1.0167303372039069e-10,4.6236038688967043e-11,0.021849922428362322,8.00874087008122e-13,4.4987265451951705e-13,0.03345055853584362
explicit_out_of_range,outside_deuteron_energy_mev_low,False,outside:deuteron_energy_mev,1.2227021843656771,False,31.0,1.7662575652900134,11.572197370954157,3.046846428105707,4.234382628313698,2.7147156350167987e-10,7.761393210179215e-11,0.01470260132967262,2.138369758553516e-12,8.321412173324698e-13,0.028781145929444377
explicit_out_of_range,outside_deuteron_energy_mev_low,False,outside:deuteron_energy_mev,1.100676903972456,False,31.0,2.2189485403213345,9.375437746606913,7.998712367939647,4.0526170817180205,1.7200376489863615e-10,4.302358779051006e-11,0.020871378006149667,1.354866213139544e-12,4.837402761053061e-13,0.030959058663643853
explicit_out_of_range,outside_deuteron_energy_mev_low,False,outside:deuteron_energy_mev,0.9012140382975982,False,31.0,2.86050975478426,10.857163285614519,7.164441941497402,0.6626371802163853,1.0350123884420451e-10,3.803182699933143e-11,0.01819299517905921,8.152747796580979e-13,3.900220387984582e-13,0.031031659389794967
explicit_out_of_range,outside_deuteron_energy_mev_low,False,outside:deuteron_energy_mev,1.1878818971992822,False,31.0,2.016890459338388,9.818610012191039,2.3572568067210913,4.420156429758012,2.081937995127198e-10,7.795314237243804e-11,0.015571350970705507,1.6399335497752743e-12,7.889182743766481e-13,0.029875992548738496
explicit_out_of_range,outside_deuteron_energy_mev_low,False,outside:deuteron_energy_mev,0.8309714811594475,False,31.0,2.9403819397052966,1.222341332846165,6.281321723543776,3.707860916868404,9.795461931087092e-11,4.549677909984714e-11,0.020245381755270932,7.715842976079977e-13,4.485166611901036e-13,0.032378083404650315
